CompanyName,Website,LinkedIn,Sub Industry,Country,Employees
Carl Hansen & S√∏n,http://www.carlhansen.com/,http://www.linkedin.com/company/carlhansenandson,Furniture,Denmark,300
Casa Bella,http://www.casabellaonline.com/,http://www.linkedin.com/company/casa-bella,Furniture,United States,220
CB2,https://www.cb2.com/,https://www.linkedin.com/company/cb2/,Furniture,United States,"500-1,000"
Century Furniture,http://www.centuryfurniture.com/,http://www.linkedin.com/company/century-furniture,Furniture,United States,360
City Furniture,http://www.cityfurniture.com/,http://www.linkedin.com/company/city-furniture,Furniture,United States,2‚-000
City Mattress,http://www.citymattress.com/,http://www.linkedin.com/company/city-mattress,Furniture,United States,220
Coaster Company of America,http://www.coasterfurniture.com/,http://www.linkedin.com/company/coaster-company-of-america,Furniture,United States,340
Coleto Brands,https://progresslighting.com/,https://www.linkedin.com/company/coleto-brands/,HoldCo,United States,200-500
Contemporary Office Interiors Ltd.,http://www.coi.ca/,http://www.linkedin.com/company/contemporary-office-interiors,Furniture,Canada,210
Crate and Barrel,http://www.crateandbarrel.com/,http://www.linkedin.com/company/crate-&-barrel,Furniture,United States,7‚-500
Creative Office Resources,http://www.creativeofficeresources.com/,http://www.linkedin.com/company/creative-office-resources,Furniture,United States,530
Dams Furniture,http://www.dams.com/,http://www.linkedin.com/company/dams-international,Furniture,United Kingdom,250
Darty,http://www.fnacdarty.com/,http://www.linkedin.com/company/darty,HoldCo,France,30‚-000
Darvin Furniture & Mattress,http://www.darvin.com/,http://www.linkedin.com/company/darvin-furniture,Furniture,United States,250
De Mandemakers Groep,http://www.werkenbijmandemakers.nl/,http://www.linkedin.com/company/demandemakersgroep,HoldCo,Netherlands,"5,000-10,000"
Dedon,http://www.dedon.de/,http://www.linkedin.com/company/dedon,Furniture,Germany,260
delta,http://www.deltamobleandorra.com/,http://www.linkedin.com/company/deltamoble,Furniture,Andorra,260
Delta Children,http://www.deltachildren.com/,http://www.linkedin.com/company/delta-children's-products,Furniture,United States,280
